decil	days	tmin	tmax	tmean	std_tmin	std_tmax	std_tmean
1	10	21.786363636363635	33.092727272727274	27.117272727272727	2.03548688009344	3.5526113690659087	2.6387326361223957
2	10	21.635454545454547	32.86	26.87909090909091	1.704155006713228	3.2743708689084	2.4310338894133574
3	11	21.301652892561982	32.70661157024794	26.930578512396693	1.8911188694824008	3.6568368739752417	2.732850861134046
4	10	22.037272727272725	32.487272727272725	26.98818181818182	1.4607939961710457	3.332632898329668	2.152137056879276
5	10	21.45727272727273	32.10727272727273	26.597272727272724	2.044794648441561	3.431845174404613	2.6655277836301807
6	8	21.067032967032965	30.68021978021978	25.605494505494505	1.933738747438635	3.099219248643109	2.406489496588692
7	10	21.180000000000003	30.725454545454543	25.60090909090909	1.775511297337327	3.596722166355309	2.4774393207483385
8	10	19.96636363636364	29.28181818181818	24.332727272727272	2.5443687515019686	4.087667328296464	3.2379943132506988
9	11	19.43884297520661	28.22892561983471	23.60330578512397	2.235709130634933	3.2920216184114217	2.66392360639645
10	10	19.74	28.04181818181818	23.61636363636364	2.2573102448011912	3.184491716047418	2.456316600664957
11	10	17.75090909090909	26.79818181818182	21.978181818181817	3.043228170558648	4.270272359192648	3.3605204331052283
12	10	16.751818181818184	25.17727272727273	20.62545454545455	3.258235347748496	4.156031520372764	3.1869699268158604
13	10	15.81	25.28454545454545	20.29909090909091	3.5835237130281223	3.98799083404292	3.2890559548643337
14	10	14.87	23.227272727272727	18.86636363636364	3.24369678104157	3.5515317561364568	2.7592804963216677
15	11	13.002479338842974	21.12314049586777	16.9198347107438	3.7071881260131514	4.686732343018581	3.597953581197484
16	10	11.675454545454546	21.788181818181812	16.61	3.94854952729158	4.348314696590373	2.94808132286722
17	10	11.695454545454544	21.59818181818182	16.417272727272728	3.7954435832097126	3.6229386880378014	2.803564542706469
18	10	10.066363636363636	20.487272727272728	15.078181818181818	3.8574668988508223	3.925291062448421	2.6476363638654608
19	10	10.298181818181815	21.991818181818186	16.035454545454545	3.9638499915649774	4.564886562055736	3.717515851132247
20	10	9.701818181818185	22.04909090909091	15.658181818181818	4.855942766355994	4.824607137203708	4.071930809468352
21	11	8.817355371900828	23.40578512396694	15.937190082644628	4.527023998278751	4.502060593414628	3.530040892855798
22	10	11.010909090909092	24.397272727272725	17.62363636363636	4.558133076997975	5.020352323081841	3.5294287624899363
23	10	10.816363636363636	26.01181818181818	18.383636363636363	4.147322055679778	5.698249076290558	3.882388541089964
24	11	11.228099173553716	28.163636363636364	19.716528925619837	4.498855838627117	5.55715754680394	4.185597271346866
25	10	13.796363636363637	29.39181818181818	21.48636363636364	4.270700848586225	6.205858904074525	4.438953452838147
26	10	14.623636363636365	29.027272727272727	21.77636363636364	3.74851474618085	5.490557517369521	3.6494294457352496
27	10	15.11909090909091	29.688181818181818	22.387272727272727	3.835122462658308	5.494529920676351	3.92557152014835
28	10	17.44363636363636	31.19818181818182	24.258181818181814	3.6022044033901195	4.729082030095566	3.406156913703081
29	10	18.22	31.1	24.759090909090908	3.1409926555764693	5.875606546866287	4.1395894725001465
30	11	20.01157024793389	33.50082644628099	26.59586776859504	2.9526595379602165	4.6899093073634965	3.654002296437312
31	10	19.553636363636365	33.41909090909091	26.615454545454543	3.3141807426565952	5.180883978530992	3.883372845076588
32	10	19.12818181818182	32.35818181818182	25.76909090909091	3.0064802127057413	4.605010869070077	3.2637780059914703
33	10	20.89909090909091	33.14545454545455	26.95	2.4513802685461745	4.915667450991841	3.644041258993606
34	10	21.14272727272727	32.88909090909091	26.682727272727277	2.26454358124534	4.923922980164851	3.427167742068792
35	10	21.134545454545457	33.53454545454546	27.16454545454545	2.5217743994592654	4.660441298229727	3.356100466605794
36	11	21.71404958677686	33.66859504132231	27.35206611570248	2.057275941025088	4.185332186295597	2.997668515517621
